ID,Name,CardType,CardRarity,Cost,TargetType,CardText,Texture,SkillID,Sound
0,DEFAULT,E_DEFAULT,E_NONE,0,E_NONE,"""""","""Card0Texture""",[0],"""없음"""
1,아이비 스킬,E_SKILL,E_RARE,20,E_SELECT,"""대상에게 오버로드를 4 부여한다.""","""CharacterSkillCard1Texture""",[101/102/103/104],"""없음"""
2,시스템 간섭,E_SKILL,E_RARE,20,E_SELECT,"""대상이 아군일 시 모든 해로운 효과 제거, 적군일 시 5턴간 공격력, 방어력, 15%, 속도를 5 감소 시킨다.""","""CharacterSkillCard2Texture""",[0],"""없음"""
3,록온,E_SKILL,E_RARE,40,E_SELF,"""도발 상태 부여, 2턴 간 자신의 방어력 15% 증가""","""CharacterSkillCard3Texture""",[0],"""없음"""
,,,,,,,,,
5,각성,E_SKILL,E_SUPERRARE,70,E_SELF,"""5턴간 치명타 확률 100% 증가, 속도, 에테르 회복량 15증가."" ","""CharacterSkillCard5Texture""",[501/502],"""없음"""
,,,,,,,,,
1101,타격,E_ATTACK,E_NORMAL,1,E_ENEMY,"""적 1명에게 공격력의 40%의 피해를 입힌다.""","""Card1101Texture""",[10011],"""없음"""
1102,휩쓸기,E_ATTACK,E_NORMAL,1,E_ENEMY,"""적 2명에게 공격력의 30%의 피해를 입힌다.""","""Card1102Texture""",[10021],"""없음"""
1103,찌르기,E_ATTACK,E_NORMAL,2,E_ENEMY,"""적 1명에게 공격력의 50%의 피해를 입힌다.""","""Card1103Texture""",[10031],"""없음"""
1111,오버로드 회수,E_ATTACK,E_RARE,2,E_ENEMY,"""적 1명에게 공격력의 50%의 피해를 입히고 자신에게 오버로드를 1 부여한다.""","""Card1111Texture""",[10031/11112],"""없음"""
1112,핑크노이즈 ,E_ATTACK,E_RARE,2,E_ENEMY,"""적 2명에게 공격력의 40%의 피해를 입히고, 대상에게 오버로드를 1 부여한다.""","""Card1112Texture""",[11121],"""없음"""
1121,백플로우,E_ATTACK,E_RARE,1,E_ENEMY,"""적 3명에게 공격력의 50%의 피해를 입히고, 자신에게 오버로드를 1 부여한다.""","""Card1121Texture""",[11211/11112],"""없음"""
1122,냉각 프로토콜,E_SKILL,E_RARE,2,E_SELF,"""오버로드를 1 소모하고 체력을 10% 회복한다.""","""Card1122Texture""",[11221],"""없음"""
1123,출력 해방 ,E_SKILL,E_RARE,3,E_SELF,"""오버로드를 1 소모하여, 공격력의 10% + 오버로드 당 1%만큼 공격력이 증가한다.""","""Card1123Texture""",[11231/11232],"""없음"""
1124,엔드포인트,E_ATTACK,E_SUPERRARE,2,E_ENEMY,"""적 전체에게 공격력의 65% 피해를 입히고, 자신의 오버로드를 1 소모하여 자신의 오버로드 당 대상의 최대 체력의 2%만큼의 고정 피해를 입힌다. 입힌 피해량에 비례해 체력을 회복한다.""","""Card1124Texture""",[11241/11242/11243],"""없음"""
1131,심층감 ,E_ATTACK,E_RARE,1,E_ENEMY,"""적 1명에게 공격력의 60%의 피해를 입히고, 대상에게 오버로드를 2 부여한다.""","""Card1131Texture""",[11311],"""없음"""
1132,확산 프로토콜,E_ATTACK,E_RARE,1,E_ENEMY,"""적 전체에게 공격력의 45%의 피해를 입히고, 대상에게 오버로드를 1 부여한다.""","""Card1132Texture""",[11321],"""없음"""
1133,붕괴,E_ATTACK,E_RARE,1,E_ENEMY,"""적 전체에게 공격력의 50%의 피해를 입히고, 오버로드 상태의 대상의 방어력을 10%감소시킨다.""","""Card1133Texture""",[11331/11332],"""없음"""
