ID,CardID,SkillType,PresentationType,Trigger,TriggerTargetType,TriggerConditionValue,SkillSource,SkillSourceTargetType,EffectValue,UpgradeValue,IsFixed,HitCount,ScaleType,ScaleTypeTargetType,ScaleFactor,ScaleLimit,StatusType,StatusCount,RoundDuration,TurnDuration,RefreshTarget,TargetType,TargetCount,TargetStatSource,#CardText
0,0,E_DEFAULT,E_DEFAULT,E_DEFAULT,E_NONE,0,E_NONE,E_NONE,0,0,FALSE,0,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_NONE,0,E_NONE,"""없음"""
101,1,E_STATUSEFFECT,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_NONE,E_NONE,0,0,FALSE,0,E_NONE,E_NONE,0,0,E_OVERLOAD,4,-1,-1,TRUE,E_SELECT,1,E_NONE,"""대상에게 오버로드를 4 부여한다."""
501,5,E_VARIATION,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,1,1,TRUE,1,E_NONE,E_NONE,0,0,E_BUFF,1,1,0,TRUE,E_SELF,1,E_CRITICALRATE,"""5턴간 치명타 확률 100% 증가, (속도, 에테르 회복량 15증가.)"" "
502,5,E_VARIATION,E_INSTANT,E_DEFAULT,E_NONE,0,E_FIXED,E_NONE,15,20,TRUE,1,E_NONE,E_NONE,0,0,E_BUFF,1,1,0,FALSE,E_SELF,1,E_SPEED,"""(5턴간 치명타 확률 100% 증가,) 속도, (에테르 회복량 15증가.)"" "
503,5,E_VARIATION,E_INSTANT,E_DEFAULT,E_NONE,0,E_FIXED,E_NONE,15,20,TRUE,1,E_NONE,E_NONE,0,0,E_BUFF,1,1,0,FALSE,E_SELF,1,E_AETHERRECOVER,"""(5턴간 치명타 확률 100% 증가, 속도,) 에테르 회복량 15증가."" "
,,,,,,,,,,,,,,,,,,,,,,,,,
10101,101,E_HEAL,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_NONE,E_NONE,0.5,1.5,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ALLIES,99,E_HP,"""스킬 사용 시 즉시 아군 전체 힐 (및 디버프 해제)"""
10102,102,E_STATUSEFFECT,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_NONE,E_NONE,0,2,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,FALSE,E_SELF,99,E_NONE,"""스킬 사용 시 즉시 아군 전체 (힐 및) 디버프 해제"""
10103,103,E_VARIATION,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,99,99,FALSE,0,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_SELF,0,E_AETHER,"""에테르를 즉시 최대치까지 회복"""
10104,104,E_VARIATION,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,-0.4,-0.5,FALSE,1,E_NONE,E_NONE,0,0,E_DEBUFF,1,-1,-1,TRUE,E_ENEMY,99,E_DEF,"""모든 적의 방어력을 40% 감소"""
10105,105,E_ETC,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_NONE,E_NONE,2,2,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,2,TRUE,E_SELF,1,E_NONE,"""2턴 간 공격 카드 사용 시 적 전체에게 공격력의 150%로 피해를 가하는 추가 공격 발동"""
,,,,,,,,,,,,,,,,,,,,,,,,,
